社員ID,名字,名前,名字フリガナ,名前フリガナ,生年月日（西暦）,入社年月,エンジニア歴,扱える言語,経歴,研修の受講歴,技術力,受講態度,コミュニケーション能力,リーダーシップ,備考,更新日
B2C3D45,久保,舞子,クボ,マイコ,1989年5月22日,2010年7月15日,60,Java・Spring,業務開発12年,研修4回,5,4.5,4.5,5,リーダー経験豊富,2024年6月15日
ZAFA46S,藤井,誠,フジイ,マコト,1988年1月18日,2012年9月15日,409,Python・JavaScript・Ruby・C++,Rubyに関する開発経験あり。,研修3回受講済み,3,4.5,3.5,5,積極的,2024年3月15日
6TN99UP,長谷川,美紀,ハセガワ,ミキ,1994年7月20日,2021年6月1日,267,HTML・CSS・JavaScript,PHPに関する開発経験あり。,研修2回受講済み！,1.5,4.5,3,1,積極的,2024年6月4日
ILCNDN1,西川,亮太,ニシカワ,リョウタ,1991年10月23日,2020年6月28日,553,SQL・Swift・Go・JavaScript,Pythonに関する開発経験あり。,研修3回受講済み,2,4,2.5,4,積極的,2024年6月26日
TYV4U1S,木村,真由美,キムラ,マユミ,1994年6月27日,2015年6月21日,260,Ruby・Swift・Go・Python,Javaに関する開発経験あり。,研修2回受講済み,2.5,2.5,1,5,リーダーシップあり,2024年3月2日
E8OXQJB,石川,直樹,イシカワ,ナオキ,1997年7月4日,2012年7月21日,289,Go・C++・Swift・Python,PHPに関する開発経験あり。,研修2回受講済み,4,3.5,3.5,5,積極的,2024年4月21日
A6GOH9P,島田,佳代子,シマダ,カヨコ,1995年4月4日,2014年4月26日,423,Java・PHP・Go,Swiftに関する開発経験あり。,研修2回受講済み！,1.5,2,1.5,1,積極的,2024年4月26日
S6O3ZWH,大西,和也,オオニシ,カズヤ,1989年7月12日,2017年4月22日,347,JavaScript・PHP・Go,Rubyに関する開発経験あり。,研修3回受講済み,4.5,1.5,3.5,1,特になし,2024年5月2日
UIW86BV,吉田,舞,ヨシダ,マイ,1985年12月25日,2017年4月30日,460,Go・Swift・PHP・HTML・CSS,HTML・CSSに関する開発経験あり。,研修3回受講済み,1.5,4,3,2,特になし,2024年5月6日
5HRXMVU,小山,健一,コヤマ,ケンイチ,1988年6月22日,2015年6月17日,462,Java・PHP,Swiftに関する開発経験あり。,研修3回受講済み！,3.5,3,5,5,成長中,2024年1月9日
GNN6RY8,吉井,志保,ヨシイ,シホ,1989年8月1日,2012年5月26日,302,Go・Swift・HTML・CSS・C++,Rubyに関する開発経験あり。,研修4回受講済み,3,3.5,2,4.5,リーダーシップあり,2024年3月21日
QQDX8CL,佐藤,裕翔,サトウ,ユウト,1989年8月1日,2012年5月26日,302,Go・Swift・HTML・CSS・C++,Rubyに関する開発経験あり。,研修4回受講済み,3,3.5,2,4.5,リーダーシップあり,2024年3月21日
A1B2C36,香川,かよこ,カガワ,カヨコ,1981年6月13日,2009年11月3日,485,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
X7G2H9J,浜田,理央,ハマダ,リオ,1993年3月12日,2016年4月1日,60,Java・Python・Ruby,Webアプリケーション開発経験6年,研修3回,4.5,4,4,3.5,チームでの開発経験あり,2025年6月20日
A8F5L1D,石井,大輔,イシイ,ダイスケ,1990年10月4日,2012年5月15日,84,C++・Python・Go,組み込み系開発経験8年,研修2回,4,3.5,4,4,安定した実装力,2025年6月20日
R2M3T7V,森田,美優,モリタ,ミユ,1995年1月23日,2019年1月1日,66,JavaScript・Vue.js・TypeScript,フロントエンド開発経験5年,研修1回,4.5,4.5,4.5,3.5,ユーザー視点での提案あり,2025年6月20日
K4B6Y2N,田村,翔太,タムラ,ショウタ,1988年6月9日,2010年10月1日,177,Java・Scala・Kotlin,業務システム開発10年,研修4回,5,4,4,4.5,要件定義から対応可能,2025年6月20日
H9Z1C3E,佐野,恵理,サノ,エリ,1992年9月27日,2014年6月20日,132,Ruby・Rails・HTML・CSS,Web開発・UI設計経験7年,研修2回,4,4,4.5,4,丁寧な設計,2025年6月20日
P6X7A1T,青山,康平,アオヤマ,コウヘイ,1987年8月15日,2009年4月10日,193,C#・.NET・SQL,業務系システム開発経験12年,研修5回,5,4.5,4,5,管理職経験あり,2025年6月20日
W3U2V9L,岡本,梨花,オカモト,リカ,1996年5月30日,2020年2月1日,52,Python・Django・Flask,Webサービス開発経験4年,研修2回,3.5,3.5,4,3,学習意欲高い,2025年6月20日
N0L4J6S,高田,隼人,タカダ,ハヤト,1991年12月8日,2013年8月1日,141,Go・Docker・Kubernetes,クラウド/インフラ構築経験9年,研修4回,4.5,4,4,4.5,信頼感あり,2025年6月20日
QLQ1SLR,吉田,恵美,ヨシダ,エミ,1964年2月2日,2013年4月18日,436,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
A5BFKBQ,田中,健司,タナカ,ケンジ,1972年3月14日,2018年5月1日,264,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
G21AD4U,高橋,浩,タカハシ,ヒロシ,1987年7月4日,2008年2月6日,566,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
Z73SWKR,森,健,モリ,タケシ,1973年7月15日,2014年10月24日,59,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
4Y82FIY,加藤,太郎,カトウ,タロウ,1994年10月24日,2016年10月10日,497,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
A7BAING,清水,裕子,シミズ,ユウコ,1972年2月26日,2017年8月28日,214,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
98GASBU,木村,健,キムラ,タケシ,1982年6月4日,2022年12月5日,247,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
M0FQS40,清水,明美,シミズ,アケミ,1991年4月19日,2018年2月16日,350,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
JKIQEBQ,中村,健,ナカムラ,タケシ,1974年2月21日,2006年2月24日,244,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
ZYDZSK6,山本,花子,ヤマモト,ハナコ,1979年11月4日,2016年8月18日,93,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
N0D1GYF,松本,健,マツモト,タケシ,1976年4月23日,2019年9月26日,579,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
JNRBQA1,山田,美咲,ヤマダ,ミサキ,1987年8月9日,2016年6月20日,81,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
54C01FG,吉田,さやか,ヨシダ,サヤカ,1971年6月23日,2022年11月25日,447,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
3L27I6Q,加藤,健,カトウ,タケシ,1993年5月15日,2022年12月8日,232,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
NYVJRPT,山本,健一,ヤマモト,ケンイチ,1979年6月27日,2014年2月23日,472,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
RNSD1WH,木村,健一,キムラ,ケンイチ,1990年12月20日,2015年5月6日,209,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
FJ3FJC0,井上,舞子,イノウエ,マイコ,1971年9月28日,2020年4月26日,415,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
2D0HSDL,松本,真理子,マツモト,マリコ,1988年9月13日,2009年1月11日,417,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
90XQ649,斉藤,太郎,サイトウ,タロウ,1991年10月13日,2019年8月30日,43,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
EMNT9NO,吉田,優斗,ヨシダ,ユウト,1971年10月4日,2013年8月2日,70,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
25QQQ77,佐藤,舞子,サトウ,マイコ,1974年9月9日,2007年6月20日,541,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
QUY30CW,渡辺,裕子,ワタナベ,ユウコ,1973年8月31日,2018年1月6日,597,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
HJOJSWX,森,亮太,モリ,リョウタ,1978年3月4日,2022年1月29日,530,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
QM0GRDZ,中村,真由美,ナカムラ,マユミ,1999年6月14日,2016年12月1日,71,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
WF62LS2,林,太郎,ハヤシ,タロウ,1992年12月22日,2022年2月26日,311,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
VH4231K,田中,健一,タナカ,ケンイチ,2000年11月9日,2019年6月7日,92,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
QQMRO3C,山田,健太,ヤマダ,ケンタ,1970年3月5日,2011年7月4日,46,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
GHAJ7JW,小林,亮,コバヤシ,リョウ,2000年10月29日,2005年5月31日,84,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
PHR1VY6,山田,舞子,ヤマダ,マイコ,1978年3月30日,2016年6月10日,518,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
ZV6VW1A,松本,翔太,マツモト,ショウタ,1980年3月1日,2019年10月15日,465,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
J2M1MMM,木村,優斗,キムラ,ユウト,1985年8月11日,2015年1月27日,21,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
W01Q9ME,山田,真理子,ヤマダ,マリコ,1979年6月9日,2012年8月14日,534,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
BG04JXL,斉藤,翔太,サイトウ,ショウタ,1996年10月30日,2014年12月1日,260,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
CJO1IKX,鈴木,裕子,スズキ,ユウコ,1986年8月22日,2013年9月3日,72,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
GGYRXXV,渡辺,健太,ワタナベ,ケンタ,1971年6月23日,2007年5月30日,494,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
6WGM47L,中村,花子,ナカムラ,ハナコ,1975年3月16日,2020年6月4日,275,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
YKC0RP4,佐藤,翔太,サトウ,ショウタ,1974年7月14日,2007年4月20日,127,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
APJIM9Q,山口,由美,ヤマグチ,ユミ,1988年11月29日,2017年6月4日,352,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
C77IDJW,中村,一郎,ナカムラ,イチロウ,1993年11月18日,2021年10月1日,544,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
NEJ7VBC,小林,健,コバヤシ,タケシ,1993年8月15日,2020年6月16日,107,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
RG2JKTN,高橋,一郎,タカハシ,イチロウ,1983年4月10日,2015年2月10日,206,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
X1OV8HF,森,明美,モリ,アケミ,1999年6月4日,2009年4月22日,587,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
RJUOCFP,伊藤,舞,イトウ,マイ,1999年3月22日,2021年7月21日,508,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
2QMU7UV,斉藤,由美,サイトウ,ユミ,1993年8月24日,2012年8月7日,334,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
V4RTUW8,清水,浩,シミズ,ヒロシ,1972年5月4日,2008年12月1日,37,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
UQZ8MPF,中村,裕子,ナカムラ,ユウコ,1996年10月7日,2021年6月6日,125,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
DNG7JVX,高橋,花子,タカハシ,ハナコ,1983年10月31日,2020年1月17日,125,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
C4RNQOA,森,一郎,モリ,イチロウ,1976年7月6日,2015年11月15日,451,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
FV6JCAF,山本,さやか,ヤマモト,サヤカ,1975年7月21日,2020年9月8日,206,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
PNXPHBY,小林,明美,コバヤシ,アケミ,1970年12月17日,2022年11月28日,14,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
OIE67S0,田中,健,タナカ,タケシ,1992年8月23日,2007年9月15日,369,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
7MUEQZV,小林,太郎,コバヤシ,タロウ,1980年7月1日,2017年5月1日,198,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
CAU65DL,斉藤,美咲,サイトウ,ミサキ,1985年2月13日,2020年7月9日,198,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
5Z0UXWU,清水,美咲,シミズ,ミサキ,1997年4月30日,2016年12月26日,417,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
LMYLQ04,中村,真理子,ナカムラ,マリコ,1976年7月12日,2005年11月21日,232,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
ZDID2QA,伊藤,亮,イトウ,リョウ,1986年12月9日,2016年7月15日,25,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
ZT3N1SD,林,優斗,ハヤシ,ユウト,2000年5月4日,2017年6月5日,505,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
SF9TI3O,木村,裕子,キムラ,ユウコ,1987年3月18日,2013年2月23日,348,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
YCBM8QW,林,舞,ハヤシ,マイ,1982年2月2日,2007年1月31日,211,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
OAFF2F9,渡辺,花子,ワタナベ,ハナコ,1997年9月6日,2015年5月8日,423,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
735A6LR,小林,亮太,コバヤシ,リョウタ,1975年1月8日,2017年6月4日,24,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
H3UBZZ1,加藤,優斗,カトウ,ユウト,1989年8月18日,2021年2月15日,227,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
5YNVU9N,佐藤,舞,サトウ,マイ,1980年2月21日,2007年2月8日,406,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
RSIS7NG,小林,舞子,コバヤシ,マイコ,1999年11月22日,2007年5月9日,254,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
7DZ510E,田中,太郎,タナカ,タロウ,1978年9月23日,2016年12月1日,397,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
7HBZ0HW,吉田,舞,ヨシダ,マイ,1986年12月12日,2016年1月8日,153,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
5UZYLGG,木村,さやか,キムラ,サヤカ,1975年8月28日,2019年5月29日,0,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
IM3YA1N,伊藤,太郎,イトウ,タロウ,1973年6月26日,2015年3月22日,474,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
I7TO6DW,吉田,健,ヨシダ,タケシ,1999年7月4日,2019年6月21日,324,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
EP9T5WT,斉藤,一郎,サイトウ,イチロウ,1985年8月16日,2021年1月16日,92,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
I1T2YRW,加藤,一郎,カトウ,イチロウ,1994年9月1日,2017年11月7日,353,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
KU51K7M,斉藤,優斗,サイトウ,ユウト,1978年3月24日,2014年12月29日,102,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
TBYGPGS,小林,真理子,コバヤシ,マリコ,1986年8月16日,2021年7月28日,230,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
G0VTZYL,佐藤,美咲,サトウ,ミサキ,1970年6月7日,2013年12月11日,349,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
1B4CQ70,山田,健,ヤマダ,タケシ,1987年2月23日,2009年10月19日,260,C++・Python,組み込み開発経験8年,研修2回,4,3.5,4,4,向上心あり,2024年6月1日
7KO4QS3,鈴木,亮,スズキ,リョウ,1980年1月28日,2020年7月6日,232,Java・Ruby,サーバーサイド経験5年,研修1回,4.5,4,4.5,4,リーダー経験あり,2024年3月18日
CCTOPEK,渡辺,さやか,ワタナベ,サヤカ,1979年9月9日,2008年7月19日,155,Python・Go,データ分析経験7年,研修2回,4,4,4,3.5,問題解決力高い,2024年5月30日
QS2SVPK,中村,由美,ナカムラ,ユミ,2000年11月17日,2022年12月22日,349,JavaScript・React,フロントエンド経験6年,研修3回,4.5,4.5,4.5,4,コミュ力高い,2024年6月10日
Y09WEYU,伊藤,裕子,イトウ,ユウコ,1983年4月28日,2014年9月27日,479,C#・SQL,業務系システム開発経験9年,研修2回,4,3.5,3.5,3.5,安定感あり,2024年4月5日
R0ADLR6,林,浩,ハヤシ,ヒロシ,1976年2月25日,2017年12月28日,300,Ruby・PHP,Webアプリ開発経験5年,研修1回,4.5,4,4,4,真面目,2024年5月15日
W3K2Q8J,伊藤,明美,イトウ,アケミ,2000年10月7日,2015年11月7日,224,Swift・Kotlin,モバイルアプリ開発経験4年,研修2回,4,3.5,4,3.5,技術好き,2024年6月5日
MF94B65,佐藤,太郎,サトウ,タロウ,1971年12月25日,2005年9月11日,444,Java・Python,機械学習経験7年,研修3回,5,4.5,4.5,4.5,積極的,2024年4月20日
G3CFCMJ,加藤,花子,カトウ,ハナコ,1986年4月17日,2009年11月24日,405,Java・Python,システム開発経験5年,研修1回,4.5,4,4,3.5,特になし,2024年5月10日
LYBK5HN,松本,浩,マツモト,ヒロシ,1994年3月18日,2021年6月8日,220,JavaScript・HTML・CSS,Webデザイン経験10年,研修3回,5,4.5,4.5,4,積極的,2024年4月22日
